datetime,subba,parent,value,temperature_2m,hour,day,month,day_of_week,is_weekend
2022-01-01 05:00:00+00:00,ZONK,NYIS,1980,11.0585,5,1,1,5,1
2022-01-01 06:00:00+00:00,ZONA,NYIS,1422,11.0585,6,1,1,5,1
2022-01-01 07:00:00+00:00,ZOND,NYIS,660,11.1085005,7,1,1,5,1
2022-01-01 08:00:00+00:00,ZONA,NYIS,1336,11.2585,8,1,1,5,1
2022-01-01 09:00:00+00:00,ZONA,NYIS,1317,11.3085,9,1,1,5,1
2022-01-01 10:00:00+00:00,ZONB,NYIS,848,11.5085,10,1,1,5,1
2022-01-01 11:00:00+00:00,ZOND,NYIS,656,11.6085005,11,1,1,5,1
2022-01-01 12:00:00+00:00,ZONA,NYIS,1343,11.8585005,12,1,1,5,1
2022-01-01 13:00:00+00:00,ZONA,NYIS,1373,12.1085005,13,1,1,5,1
2022-01-01 14:00:00+00:00,ZONB,NYIS,925,12.0585,14,1,1,5,1
2022-01-01 15:00:00+00:00,ZONK,NYIS,1823,11.3085,15,1,1,5,1
2022-01-01 16:00:00+00:00,ZONA,NYIS,1488,10.6085005,16,1,1,5,1
2022-01-01 17:00:00+00:00,ZONE,NYIS,847,10.2585,17,1,1,5,1
2022-01-01 18:00:00+00:00,ZONA,NYIS,1553,9.8085,18,1,1,5,1
2022-01-01 19:00:00+00:00,ZONB,NYIS,1066,9.908501,19,1,1,5,1
2022-01-01 20:00:00+00:00,ZONB,NYIS,1073,9.408501,20,1,1,5,1
2022-01-01 21:00:00+00:00,ZONA,NYIS,1592,9.158501,21,1,1,5,1
2022-01-01 22:00:00+00:00,ZONA,NYIS,1644,8.7585,22,1,1,5,1
2022-01-01 23:00:00+00:00,ZONA,NYIS,1713,8.4585,23,1,1,5,1
2022-01-02 00:00:00+00:00,ZONA,NYIS,1703,9.2085,0,2,1,6,1
2022-01-02 01:00:00+00:00,ZONA,NYIS,1681,8.5085,1,2,1,6,1
2022-01-02 02:00:00+00:00,ZONA,NYIS,1658,8.158501,2,2,1,6,1
2022-01-02 03:00:00+00:00,ZOND,NYIS,693,7.8585,3,2,1,6,1
2022-01-02 04:00:00+00:00,ZONB,NYIS,1012,7.8085,4,2,1,6,1
2022-01-02 05:00:00+00:00,ZONA,NYIS,1497,8.0085,5,2,1,6,1
2022-01-02 06:00:00+00:00,ZOND,NYIS,678,7.7085,6,2,1,6,1
2022-01-02 07:00:00+00:00,ZONB,NYIS,924,8.0585,7,2,1,6,1
2022-01-02 08:00:00+00:00,ZONA,NYIS,1406,9.0585,8,2,1,6,1
2022-01-02 09:00:00+00:00,ZONE,NYIS,660,10.1085005,9,2,1,6,1
2022-01-02 10:00:00+00:00,ZONA,NYIS,1396,10.3085,10,2,1,6,1
2022-01-02 11:00:00+00:00,ZONB,NYIS,928,10.2585,11,2,1,6,1
2022-01-02 12:00:00+00:00,ZONA,NYIS,1469,11.7085,12,2,1,6,1
2022-01-02 13:00:00+00:00,ZONK,NYIS,1648,11.0085,13,2,1,6,1
2022-01-02 14:00:00+00:00,ZONA,NYIS,1559,10.7585,14,2,1,6,1
2022-01-02 15:00:00+00:00,ZONA,NYIS,1615,10.6085005,15,2,1,6,1
2022-01-02 16:00:00+00:00,ZONE,NYIS,922,10.3085,16,2,1,6,1
2022-01-02 17:00:00+00:00,ZONA,NYIS,1708,10.3085,17,2,1,6,1
2022-01-02 18:00:00+00:00,ZONE,NYIS,937,11.0585,18,2,1,6,1
2022-01-02 19:00:00+00:00,ZONA,NYIS,1737,10.6085005,19,2,1,6,1
2022-01-02 20:00:00+00:00,ZONE,NYIS,934,10.158501,20,2,1,6,1
2022-01-02 21:00:00+00:00,ZONA,NYIS,1742,10.0085,21,2,1,6,1
2022-01-02 22:00:00+00:00,ZONA,NYIS,1788,10.1085005,22,2,1,6,1
2022-01-02 23:00:00+00:00,ZONA,NYIS,1889,9.158501,23,2,1,6,1
2022-01-03 00:00:00+00:00,ZONB,NYIS,1309,8.7585,0,3,1,0,0
2022-01-03 01:00:00+00:00,ZONA,NYIS,1868,8.8585005,1,3,1,0,0
2022-01-03 02:00:00+00:00,ZONA,NYIS,1836,8.658501,2,3,1,0,0
2022-01-03 03:00:00+00:00,ZOND,NYIS,735,9.3585005,3,3,1,0,0
2022-01-03 04:00:00+00:00,ZONA,NYIS,1715,8.6085005,4,3,1,0,0
2022-01-03 05:00:00+00:00,ZONA,NYIS,1637,8.4585,5,3,1,0,0
2022-01-03 06:00:00+00:00,ZONA,NYIS,1583,8.1085005,6,3,1,0,0
2022-01-03 07:00:00+00:00,ZONA,NYIS,1559,8.0585,7,3,1,0,0
2022-01-03 08:00:00+00:00,ZONB,NYIS,995,7.6085,8,3,1,0,0
2022-01-03 09:00:00+00:00,ZOND,NYIS,727,8.1085005,9,3,1,0,0
2022-01-03 10:00:00+00:00,ZONA,NYIS,1588,8.3085,10,3,1,0,0
2022-01-03 11:00:00+00:00,ZONB,NYIS,1090,8.8085,11,3,1,0,0
2022-01-03 12:00:00+00:00,ZONA,NYIS,1771,9.3585005,12,3,1,0,0
